call_sign,facility_id,service,licensee,status,details
KHPT,69564,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KHRI,78377,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KHSS,34540,FM,"TWO HEARTS COMMUNICATIONS, LLC",LICENSED,Click for Details
KHSU,28111,FM,HUMBOLDT STATE UNIVERSITY,LICENSED,Click for Details
KHTH,22890,FM,"AMATURO SONOMA MEDIA GROUP, LLC",LICENSED,Click for Details
KHTP,18513,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KHTS-FM,20697,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHTT,55704,FM,"GRIFFIN LICENSING, L.L.C.",LICENSED,Click for Details
KHUD,53594,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHVU,72685,FM,Hope Media Group,LICENSED,Click for Details
KHYL,10144,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KHYT,56053,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KHYX,171502,FM,NOMADIC BROADCASTING LLC,LICENSED,Click for Details
KHYZ,34555,FM,HEFTEL BROADCASTING COMPANY LLC,LICENSED,Click for Details
KIBT,66669,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KIBX,77383,FM,"SPOKANE PUBLIC RADIO, INC.",LICENSED,Click for Details
KIIC,25745,FM,WAVEGUIDE COMMUNICATIONS INC.,LICENSED,Click for Details
KIIM-FM,56052,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KIIS-FM,19218,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KIJI,164176,FM,CHOICE BROADCASTING COMPANY,LICENSED,Click for Details
KIKO-FM,11894,FM,"1TV.COM, INC.",LICENSED,Click for Details
KILI,36443,FM,LAKOTA COMMUNICATIONS INC.,LICENSED,Click for Details
KILT-FM,25439,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KIMN,59597,FM,"KSE RADIO VENTURES, LLC",LICENSED,Click for Details
KIMO,83110,FM,"THE MONTANA RADIO COMPANY, LLC",LICENSED,Click for Details
KINB,88376,FM,"PERRY MEDIA GROUP, LLC",LICENSED,Click for Details
KINE-FM,34553,FM,"SM-KINE, LLC",LICENSED,Click for Details
KING-FM,11755,FM,CLASSIC RADIO,LICENSED,Click for Details
KINK,53068,FM,Alpha Media Licensee LLC Debtor in Possession,LICENSED,Click for Details
KIOA,58547,FM,"SAGA COMMUNICATIONS OF IOWA, LLC",LICENSED,Click for Details
KIOI,34930,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KIOS-FM,17416,FM,DOUGLAS COUNTY SCHOOL DISTRICT 001,LICENSED,Click for Details
KIOZ,13504,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KIRO-FM,33682,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KISC,60419,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KISK,164263,FM,"SMOKE AND MIRRORS, LLC",LICENSED,Click for Details
KISM,34469,FM,"SAGA BROADCASTING, LLC",LICENSED,Click for Details
KISO,71411,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KISQ,59964,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KISR,63336,FM,STEREO 93 INC.,LICENSED,Click for Details
KISS-FM,34976,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KISW,47750,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
