Year,Sex,Name,Number,Rank
1998,Girl,Neelam,34,701
1998,Girl,Neelum,3,3848
1998,Girl,Neely,3,3848
1998,Girl,Neema,4,3142
1998,Girl,Neesha,12,1480
1998,Girl,Neeve,10,1697
1998,Girl,Neha,35,683
1998,Girl,Neisha,3,3848
1998,Girl,Neive,6,2407
1998,Girl,Nell,15,1259
1998,Girl,Nellie,4,3142
1998,Girl,Nerissa,8,1979
1998,Girl,Nerys,6,2407
1998,Girl,Nesrine,3,3848
1998,Girl,Neve,123,296
1998,Girl,Ngaire,3,3848
1998,Girl,Nhi,3,3848
1998,Girl,Nia,135,281
1998,Girl,Niah,4,3142
1998,Girl,Niamh,837,66
1998,Girl,Nichol,3,3848
1998,Girl,Nichola,24,898
1998,Girl,Nichole,17,1165
1998,Girl,Nicki,4,3142
1998,Girl,Nicky,9,1823
1998,Girl,Nico,4,3142
1998,Girl,Nicol,12,1480
1998,Girl,Nicola,386,118
1998,Girl,Nicole,1577,36
1998,Girl,Nicole-Louise,3,3848
1998,Girl,Nicolina,3,3848
1998,Girl,Nicolle,11,1571
1998,Girl,Nida,20,1036
1998,Girl,Nidah,3,3848
1998,Girl,Nidhi,9,1823
1998,Girl,Nieve,15,1259
1998,Girl,Nihal,3,3848
1998,Girl,Nikhita,13,1392
1998,Girl,Niki,8,1979
1998,Girl,Nikisha,13,1392
1998,Girl,Nikita,319,142
1998,Girl,Nikitta,3,3848
1998,Girl,Nikki,50,542
1998,Girl,Nikkita,24,898
1998,Girl,Nilima,4,3142
1998,Girl,Nimat,3,3848
1998,Girl,Nimco,6,2407
1998,Girl,Nimisha,5,2701
1998,Girl,Nimo,4,3142
1998,Girl,Nimra,27,817
1998,Girl,Nimrah,15,1259
1998,Girl,Nina,193,216
1998,Girl,Niomi,19,1076
1998,Girl,Nirali,4,3142
1998,Girl,Nirvana,5,2701
1998,Girl,Nisa,6,2407
1998,Girl,Nisba,3,3848
1998,Girl,Nisha,56,497
1998,Girl,Nishat,27,817
1998,Girl,Nishi,3,3848
1998,Girl,Nishma,3,3848
