yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,75,5,2172,9.2,36152,37238,0.0601,0.9417,0.0583,0.9406
1876,female,75,95,2172,9.2,36152,37238,0.0601,0.9417,0.0583,0.9406
1876,female,75,median,2172,9.2,36152,37238,0.0601,0.9417,0.0583,0.9406
1876,female,76,5,2124,8.7,34004,35066,0.0625,0.9394,0.0606,0.9418
1876,female,76,95,2124,8.7,34004,35066,0.0625,0.9394,0.0606,0.9418
1876,female,76,median,2124,8.7,34004,35066,0.0625,0.9394,0.0606,0.9418
1876,female,77,5,1837,8.2,32023,32942,0.0574,0.9442,0.0558,0.9375
1876,female,77,95,1837,8.2,32023,32942,0.0574,0.9442,0.0558,0.9375
1876,female,77,median,1837,8.2,32023,32942,0.0574,0.9442,0.0558,0.9375
1876,female,78,5,2169,7.7,30020,31105,0.0722,0.9303,0.0697,0.9283
1876,female,78,95,2169,7.7,30020,31105,0.0722,0.9303,0.0697,0.9283
1876,female,78,median,2169,7.7,30020,31105,0.0722,0.9303,0.0697,0.9283
1876,female,79,5,2134,7.2,27869,28936,0.0766,0.9263,0.0737,0.9189
1876,female,79,95,2134,7.2,27869,28936,0.0766,0.9263,0.0737,0.9189
1876,female,79,median,2134,7.2,27869,28936,0.0766,0.9263,0.0737,0.9189
1876,female,80,5,2386,6.7,25609,26802,0.0932,0.911,0.089,0.9122
1876,female,80,95,2386,6.7,25609,26802,0.0932,0.911,0.089,0.9122
1876,female,80,median,2386,6.7,25609,26802,0.0932,0.911,0.089,0.9122
1876,female,81,5,2113,6.4,23359,24416,0.0905,0.9135,0.0865,0.9038
1876,female,81,95,2113,6.4,23359,24416,0.0905,0.9135,0.0865,0.9038
1876,female,81,median,2113,6.4,23359,24416,0.0905,0.9135,0.0865,0.9038
1876,female,82,5,2382,5.9,21112,22303,0.1128,0.8932,0.1068,0.8884
1876,female,82,95,2382,5.9,21112,22303,0.1128,0.8932,0.1068,0.8884
1876,female,82,median,2382,5.9,21112,22303,0.1128,0.8932,0.1068,0.8884
1876,female,83,5,2330,5.6,18755,19920,0.1242,0.883,0.117,0.8773
1876,female,83,95,2330,5.6,18755,19920,0.1242,0.883,0.117,0.8773
1876,female,83,median,2330,5.6,18755,19920,0.1242,0.883,0.117,0.8773
1876,female,84,5,2271,5.2,16455,17590,0.138,0.8709,0.1291,0.8714
1876,female,84,95,2271,5.2,16455,17590,0.138,0.8709,0.1291,0.8714
1876,female,84,median,2271,5.2,16455,17590,0.138,0.8709,0.1291,0.8714
1876,female,85,5,1960,4.9,14339,15319,0.1367,0.8721,0.1279,0.8585
