gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
50184,"Ross, J. (John)",NA,1848,1926,NA,"Ross of Bladensburg/Ross-of-Bladensburg, John Foster George, Sir"
50186,"Croil, James",NA,1821,1916,NA,NA
50187,"Dauncey, Campbell, Mrs.","Dauncey, Mrs. Campbell",NA,NA,NA,"Dauncey, Mrs. Campbell"
50188,"Locy, William A. (William Albert)","Locy, William Albert",1857,1924,NA,"Locy, William Albert"
50189,"Damrosch, Walter","Damrosch, Walter Johannes",1862,1950,https://en.wikipedia.org/wiki/Walter_Damrosch,"Damrosch, Walter Johannes"
50191,"Seaby, Allen W. (Allen William)",NA,1867,1953,https://en.wikipedia.org/wiki/Allen_W._Seaby,"Seaby, A. W. (Allen William)/Seaby, Allen William"
50192,"Wood, Joanna E. (Joanna Ellen)",NA,1867,1927,https://en.wikipedia.org/wiki/Joanna_E._Wood,NA
50193,"Donahey, J. H. (James Harrison)","Donahey, James Harrison",1875,1949,NA,"Donahey, James Harrison"
50195,"Laplace, Pierre Simon, marquis de",NA,1749,1827,https://en.wikipedia.org/wiki/Pierre-Simon_Laplace|https://fr.wikipedia.org/wiki/Pierre-Simon_de_Laplace,"De La Place, Pierre Simon, marquis/Laplace, P. S. (Pierre Simon), marquis de/Place, Pierre Simon, marquis de La"
50198,"Nelson, Jack A.","Nilsen, Eric",NA,NA,NA,"Nilsen, Eric"
50199,A Californian,NA,NA,NA,NA,NA
50200,"Campbell, John Gregorson",NA,1836,1891,https://en.wikipedia.org/wiki/John_Gregorson_Campbell,NA
50201,"Ferris, J. R., Lieutenant","Ferris, J. R.",NA,NA,NA,"Ferris, J. R."
50202,"St. Aubyn, Alan",NA,NA,NA,https://en.wikipedia.org/wiki/Alan_St._Aubyn,"Marshall, Frances Bridges/Aubyn, Alan Saint/Aubyn, Alan St."
50204,"Parker, John Henry","Parker, J. H. (John Henry)",1806,1884,https://en.wikipedia.org/wiki/John_Henry_Parker,"Parker, J. H. (John Henry)"
50205,"Tautphoeus, Jemima Montgomery, Baroness",NA,1807,1893,https://en.wikipedia.org/wiki/Jemima_von_Tautphoeus,"Montgomery, Jemima, Baroness Tautphoeus/Tautphoeus, Baroness"
50207,"Morrison, David",NA,1940,NA,https://en.wikipedia.org/wiki/David_Morrison_(astrophysicist),NA
50208,"Samz, Jane",NA,NA,NA,NA,NA
50209,Henry S. King (Publisher),NA,NA,NA,NA,H. S. King & Co./Henry S. King & Co.
50210,"Lesesne, Thomas Petigru",NA,1882,1942,NA,NA
50211,T. Fisher Unwin (Firm),NA,NA,NA,https://en.wikipedia.org/wiki/T._Fisher_Unwin,"Unwin (Firm)/T. Fisher Unwin, Ltd."
50213,"Hutchinson, M. F.",NA,NA,NA,NA,NA
50214,"Anethan, Albert d', Baroness",NA,1860,1935,NA,"Anethan, A. d', Baroness/Anethan, Eleanora Mary Haggard, baronne d'/D'Anethan, Albert, Baroness/Haggard, Mary"
