gutenberg_id,subject_type,subject
112,lcsh,Fathers and daughters -- Fiction
112,lcsh,Violists -- Fiction
112,lcc,PS
113,lcsh,Orphans -- Juvenile fiction
113,lcsh,People with disabilities -- Juvenile fiction
113,lcsh,Gardens -- Juvenile fiction
113,lcsh,Yorkshire (England) -- Juvenile fiction
113,lcc,PZ
114,lcsh,Fantasy fiction
114,lcsh,Children's stories
114,lcc,NC
114,lcc,PR
114,lcc,PZ
115,lcsh,United States -- Population -- Statistics
115,lcsh,United States -- Census
115,lcsh,United States -- Statistics
115,lcc,HA
116,lcsh,Project Apollo (U.S.)
116,lcsh,Apollo 11 (Spacecraft)
116,lcsh,Space flight to the moon
116,lcc,TL
117,lcsh,Music
117,lcc,M
118,lcsh,Internet
118,lcsh,Computer networks
118,lcc,TK
119,lcsh,Humorous stories
119,lcsh,Europe -- Fiction
119,lcsh,Americans -- Europe -- Fiction
119,lcsh,Walking -- Fiction
119,lcc,PS
120,lcsh,Sea stories
120,lcsh,Pirates -- Fiction
120,lcsh,Treasure troves -- Fiction
120,lcsh,Treasure Island (Imaginary place) -- Fiction
120,lcc,PR
120,lcc,PZ
121,lcsh,England -- Social life and customs -- 19th century -- Fiction
121,lcsh,Satire
121,lcsh,England -- Fiction
121,lcsh,Young women -- Fiction
121,lcsh,Love stories
121,lcsh,Gothic fiction
121,lcsh,Horror tales -- Appreciation -- Fiction
121,lcsh,Books and reading -- Fiction
121,lcsh,Gentry -- England -- Fiction
121,lcsh,Marriage -- Economic aspects -- Fiction
121,lcc,PR
122,lcsh,Adultery -- Fiction
122,lcsh,Didactic fiction
122,lcsh,Love stories
122,lcsh,Mate selection -- Fiction
122,lcsh,Wessex (England) -- Fiction
122,lcsh,Mothers and sons -- Fiction
122,lcsh,People with visual disabilities -- Fiction
122,lcsh,Heathlands -- Fiction
122,lcc,PR
123,lcsh,Science fiction
123,lcsh,Fantasy fiction
123,lcsh,Adventure stories
123,lcsh,Earth (Planet) -- Core -- Fiction
123,lcc,PS
124,lcsh,Bible. Apocrypha
124,lcsh,Apocryphal books (Old Testament)
124,lcc,BS
125,lcsh,Didactic fiction
125,lcsh,Indiana -- Fiction
125,lcsh,Domestic fiction
125,lcsh,Bildungsromans
125,lcsh,Mothers and daughters -- Fiction
125,lcsh,Girls -- Fiction
125,lcsh,Conflict of generations -- Fiction
125,lcsh,Swamps -- Fiction
125,lcsh,Moths -- Fiction
125,lcc,PZ
125,lcc,PS
126,lcsh,Science fiction
126,lcsh,"Challenger, Professor (Fictitious character) -- Fiction"
126,lcc,PR
127,lcsh,Mathematics
127,lcsh,Mathematical constants
127,lcc,QA
128,lcsh,Fairy tales
128,lcsh,Children's stories
128,lcsh,Arabs -- Folklore
128,lcsh,Folklore -- Arab countries
128,lcsh,Tales -- Arab countries
128,lcsh,Fairy tales -- Arab countries
128,lcc,PJ
128,lcc,PZ
129,lcsh,Mathematics
129,lcsh,Square root
129,lcc,QA
130,lcsh,Apologetics
130,lcsh,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
130,lcsh,"Christianity -- Essence, genius, nature"
130,lcc,BR
131,lcsh,Christian fiction
131,lcsh,Christian pilgrims and pilgrimages -- Fiction
131,lcc,PR
132,lcsh,Military art and science -- Early works to 1800
132,lcsh,War -- Early works to 1800
132,lcc,U
133,lcsh,Psychological fiction
133,lcsh,Clergy -- Fiction
133,lcsh,New York (State) -- Fiction
133,lcsh,Belief and doubt -- Fiction
133,lcsh,Methodists -- Fiction
133,lcc,PS
134,lcsh,Autobiographical fiction
134,lcsh,Feminist fiction
134,lcsh,Women -- Fiction
134,lcc,PR
135,lcsh,Historical fiction
135,lcsh,Orphans -- Fiction
135,lcsh,Paris (France) -- Fiction
135,lcsh,Epic literature
135,lcsh,Ex-convicts -- Fiction
135,lcc,PQ
136,lcsh,"Children's poetry, English"
136,lcc,PR
136,lcc,PZ
137,lcsh,Orphans -- Juvenile fiction
137,lcsh,Schools -- Juvenile fiction
137,lcsh,Boarding schools -- Juvenile fiction
137,lcsh,Girls -- Juvenile fiction
137,lcsh,London (England) -- Juvenile fiction
137,lcc,PZ
138,lcsh,"Sand, George, 1804-1876"
138,lcsh,"Women novelists, French -- 19th century -- Biography"
138,lcc,PQ
139,lcsh,"Challenger, Professor (Fictitious character) -- Fiction"
139,lcsh,Fantasy fiction
139,lcsh,South America -- Fiction
139,lcsh,Prehistoric peoples -- Fiction
139,lcsh,Dinosaurs -- Fiction
139,lcc,PR
140,lcsh,Meat industry and trade -- Fiction
140,lcsh,Working class -- Fiction
140,lcsh,Political fiction
140,lcsh,Lithuanian Americans -- Fiction
140,lcsh,Stockyards -- Fiction
140,lcsh,Immigrants -- Fiction
140,lcsh,Chicago (Ill.) -- Fiction
140,lcc,PS
141,lcsh,England -- Fiction
141,lcsh,Young women -- Fiction
141,lcsh,Love stories
141,lcsh,Domestic fiction
141,lcsh,Country homes -- Fiction
141,lcsh,Adoptees -- Fiction
141,lcsh,Children of the rich -- Fiction
141,lcsh,Cousins -- Fiction
141,lcsh,Uncles -- Fiction
141,lcc,PR
142,lcsh,"Humorous stories, American"
142,lcsh,United States -- Social life and customs -- Fiction
142,lcsh,"Short stories, American"
142,lcc,PS
143,lcsh,Psychological fiction
143,lcsh,Fathers and daughters -- Fiction
143,lcsh,Men -- England -- Fiction
143,lcsh,Wessex (England) -- Fiction
143,lcsh,Runaway husbands -- Fiction
143,lcsh,Atonement -- Fiction
143,lcsh,Mayors -- Fiction
143,lcc,PR
144,lcsh,Young women -- Fiction
144,lcsh,Love stories
144,lcsh,Bildungsromans
144,lcsh,Ocean travel -- Fiction
144,lcsh,Women travelers -- Fiction
144,lcsh,British -- South America -- Fiction
144,lcc,PR
