type,nationality,band,percent,year
Academic,Thailand,5.5,0.17928393540958143,2024-2025
Academic,Thailand,6,0.20959751492917014,2024-2025
Academic,Thailand,6.5,0.1755616849208687,2024-2025
Academic,Thailand,7,0.1289933856412179,2024-2025
Academic,Thailand,7.5,0.09439520124253542,2024-2025
Academic,Thailand,8,0.048603486597220365,2024-2025
Academic,Thailand,8.5,0.01140776049058726,2024-2025
Academic,Thailand,9,1.6067268296601775e-4,2024-2025
Academic,Turkey,<4,0.004243148838408702,2024-2025
Academic,Turkey,4,0.010033523220104555,2024-2025
Academic,Turkey,4.5,0.02869400098459807,2024-2025
Academic,Turkey,5,0.06730431113299107,2024-2025
Academic,Turkey,5.5,0.1358276484516023,2024-2025
Academic,Turkey,6,0.1831821272006939,2024-2025
Academic,Turkey,6.5,0.18461213868767143,2024-2025
Academic,Turkey,7,0.15997374405138662,2024-2025
Academic,Turkey,7.5,0.13571043439529268,2024-2025
Academic,Turkey,8,0.07700963499542865,2024-2025
Academic,Turkey,8.5,0.013385845230560047,2024-2025
Academic,Turkey,9,2.344281126192653e-5,2024-2025
Academic,Ukraine,<4,0.0015497468746771361,2024-2025
Academic,Ukraine,4,0.0038227089575369353,2024-2025
Academic,Ukraine,4.5,0.016014051038330406,2024-2025
Academic,Ukraine,5,0.050418431656162825,2024-2025
Academic,Ukraine,5.5,0.11271825601818371,2024-2025
Academic,Ukraine,6,0.17956400454592417,2024-2025
Academic,Ukraine,6.5,0.18638289079450357,2024-2025
Academic,Ukraine,7,0.18710610600268623,2024-2025
Academic,Ukraine,7.5,0.15404483934290733,2024-2025
Academic,Ukraine,8,0.09298481248062818,2024-2025
Academic,Ukraine,8.5,0.015394152288459553,2024-2025
Academic,Ukraine,9,0,2024-2025
Academic,United Arab Emirates,<4,0.06302501721367915,2024-2025
Academic,United Arab Emirates,4,0.07606151021344962,2024-2025
Academic,United Arab Emirates,4.5,0.12742712875831994,2024-2025
Academic,United Arab Emirates,5,0.16304796878586184,2024-2025
Academic,United Arab Emirates,5.5,0.16566444801468902,2024-2025
Academic,United Arab Emirates,6,0.13885701170530182,2024-2025
Academic,United Arab Emirates,6.5,0.10644939178333716,2024-2025
Academic,United Arab Emirates,7,0.08317649759008493,2024-2025
Academic,United Arab Emirates,7.5,0.04989671792517788,2024-2025
Academic,United Arab Emirates,8,0.022446637594675235,2024-2025
Academic,United Arab Emirates,8.5,0.0039017672710580675,2024-2025
Academic,United Arab Emirates,9,4.590314436538903e-5,2024-2025
Academic,Uzbekistan,<4,0.006723507917174177,2024-2025
Academic,Uzbekistan,4,0.015395858708891595,2024-2025
Academic,Uzbekistan,4.5,0.04422655298416565,2024-2025
Academic,Uzbekistan,5,0.11053593179049939,2024-2025
Academic,Uzbekistan,5.5,0.19641900121802677,2024-2025
Academic,Uzbekistan,6,0.21345919610231423,2024-2025
Academic,Uzbekistan,6.5,0.17911084043848963,2024-2025
Academic,Uzbekistan,7,0.12863580998781973,2024-2025
Academic,Uzbekistan,7.5,0.07113276492082825,2024-2025
Academic,Uzbekistan,8,0.02722289890377588,2024-2025
Academic,Uzbekistan,8.5,0.006760048721071863,2024-2025
Academic,Uzbekistan,9,3.7758830694275267e-4,2024-2025
Academic,Vietnam,<4,0.005692970253634926,2024-2025
Academic,Vietnam,4,0.01287706995445624,2024-2025
Academic,Vietnam,4.5,0.03479619642891171,2024-2025
Academic,Vietnam,5,0.0907540446290756,2024-2025
Academic,Vietnam,5.5,0.17473845684776187,2024-2025
Academic,Vietnam,6,0.214965603978886,2024-2025
Academic,Vietnam,6.5,0.1849286354021762,2024-2025
Academic,Vietnam,7,0.13959925300607887,2024-2025
Academic,Vietnam,7.5,0.09356479981706273,2024-2025
Academic,Vietnam,8,0.04074165825028108,2024-2025
Academic,Vietnam,8.5,0.007155515749757036,2024-2025
Academic,Vietnam,9,1.8579568191779257e-4,2024-2025
General_Training,Algeria,<4,0.02570320077594568,2024-2025
General_Training,Algeria,4,0.043646944713870026,2024-2025
General_Training,Algeria,4.5,0.07856450048496605,2024-2025
General_Training,Algeria,5,0.1357904946653734,2024-2025
General_Training,Algeria,5.5,0.17022308438409312,2024-2025
General_Training,Algeria,6,0.1804073714839961,2024-2025
General_Training,Algeria,6.5,0.15955383123181377,2024-2025
General_Training,Algeria,7,0.09699321047526671,2024-2025
General_Training,Algeria,7.5,0.07516973811833172,2024-2025
General_Training,Algeria,8,0.028612997090203686,2024-2025
General_Training,Algeria,8.5,0.005334626576139669,2024-2025
General_Training,Algeria,9,0,2024-2025
General_Training,Argentina,<4,0.011456628477905075,2024-2025
General_Training,Argentina,4,0.027823240589198037,2024-2025
General_Training,Argentina,4.5,0.060556464811783964,2024-2025
General_Training,Argentina,5,0.10900163666121113,2024-2025
General_Training,Argentina,5.5,0.14271685761047465,2024-2025
