tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt2180547,movie,The AckerMonster Chronicles!,The AckerMonster Chronicles!,2012,90,Documentary,the ackermonster chronicles,8.7,33
tt2189714,movie,Little Monsters,Little Monsters,2012,107,"Crime,Drama,Horror",little monsters,4.8,332
tt2193225,movie,The Return of the Loch Ness Monster from Outer Space,The Return of the Loch Ness Monster from Outer Space,2012,79,"Action,Comedy,Fantasy",the return of the loch ness monster from outer space,7.5,18
tt2210828,movie,"Humanoid Monster, Bem the Movie",Youkai ningen Bemu,2012,NA,Horror,humanoid monster bem the movie,5.4,119
tt22177784,video,Scooby-Doo 2: Monsters Unleashed - Deleted Scenes,Scooby-Doo 2: Monsters Unleashed - Deleted Scenes,2004,7,"Mystery,Short",scoobydoo 2 monsters unleashed  deleted scenes,7.4,28
tt2222042,movie,Love and Monsters,Love and Monsters,2020,109,"Action,Adventure,Comedy",love and monsters,6.9,149118
tt2222398,tvMovie,Mighty Mighty Monsters in New Fears Eve,Mighty Mighty Monsters in New Fears Eve,2013,45,Animation,mighty mighty monsters in new fears eve,8.2,28
tt2224215,video,Grampa's Monster Movies,Grampa's Monster Movies,1988,65,"Comedy,Fantasy,Horror",grampas monster movies,7.2,19
tt2241287,movie,Laura's Star and the Dream Monster,Lauras Stern und die Traummonster,2011,65,"Animation,Family",lauras star and the dream monster,6,88
tt2241351,movie,Money Monster,Money Monster,2016,98,"Action,Crime,Drama",money monster,6.5,107410
tt2245218,movie,Monsters Wanted,Monsters Wanted,2013,89,Documentary,monsters wanted,6.3,166
tt2246695,movie,Frankenstein's Patchwork Monster,Frankenstein's Patchwork Monster,2015,100,Horror,frankensteins patchwork monster,8.8,16
tt2256446,tvMovie,Mighty Mighty Monsters in Halloween Havoc,Mighty Mighty Monsters in Halloween Havoc,2013,44,"Animation,Horror",mighty mighty monsters in halloween havoc,7,49
tt2259908,movie,Hermit: Monster Killer,Hermit: Monster Killer,2016,90,"Adventure,Comedy,Horror",hermit monster killer,6.1,67
tt22643636,movie,How to Kill Monsters,How to Kill Monsters,2023,95,"Action,Comedy,Horror",how to kill monsters,7.2,89
tt22741760,movie,Your Monster,Your Monster,2024,98,"Comedy,Horror,Romance",your monster,7,679
tt2278878,movie,Mommy's Little Monster,Mommy's Little Monster,2012,100,Drama,mommys little monster,5.2,80
tt23016574,movie,Loch Ness Monster of Seattle,Loch Ness Monster of Seattle,2022,62,Mystery,loch ness monster of seattle,5.6,21
tt2302545,video,Black River Monster,Black River Monster,1986,NA,"Family,Horror",black river monster,3.4,42
tt23026954,tvMovie,Monster High 2,Monster High 2,2023,93,"Action,Adventure,Fantasy",monster high 2,5.5,1133
tt23037638,movie,There Is a Monster,There Is a Monster,2024,82,"Drama,Horror,Thriller",there is a monster,3.9,150
tt2308606,movie,Attack of the Morningside Monster,The Morningside Monster,2014,93,"Horror,Mystery,Thriller",attack of the morningside monster,4.6,231
tt23133412,movie,Monster Grizzly,Monster Grizzly,2023,NA,Horror,monster grizzly,3,150
tt23214770,movie,Closet Monster,Closet Monster,2023,60,Horror,closet monster,6.9,28
tt2326087,tvMovie,Girl Vs. Monster,Girl Vs. Monster,2012,89,"Action,Adventure,Comedy",girl vs monster,5.3,3898
tt2332547,video,Behind the Scenes of 'Monsters',Behind the Scenes of 'Monsters',2011,55,Documentary,behind the scenes of monsters,7.8,10
tt2336507,movie,The Many Monsters of Sadness,The Many Monsters of Sadness,2012,90,Drama,the many monsters of sadness,7.4,32
tt2355871,tvMovie,Titanoboa: Monster Snake,Titanoboa: Monster Snake,2012,93,Documentary,titanoboa monster snake,6.7,323
tt23650066,movie,The Sea Monster,Da hai guai,2023,75,Action,the sea monster,6.6,10
tt2367036,video,Power Rangers Monster Bash Halloween Special,Power Rangers Monster Bash Halloween Special,2012,65,"Action,Adventure,Fantasy",power rangers monster bash halloween special,3.7,36
tt23736044,movie,Monster,Kaibutsu,2023,127,"Drama,Thriller",monster,7.8,29306
tt2375196,movie,Monsters on Main Street,Monsters on Main Street,2014,NA,"Comedy,Horror",monsters on main street,4.4,31
tt2379082,movie,Monster Pies,Monster Pies,2013,85,"Drama,Romance",monster pies,6.7,3222
tt2395337,tvMovie,Monster High: Escape from Skull Shores,Monster High: Escape from Skull Shores,2012,46,Animation,monster high escape from skull shores,6.7,887
tt2403415,movie,Love in the Time of Monsters,Love in the Time of Monsters,2014,97,"Comedy,Horror",love in the time of monsters,5.1,241
tt2403949,movie,Seattle's Loch Ness: The Lake Washington Sea Monster,Seattle's Loch Ness: The Lake Washington Sea Monster,2012,65,Mystery,seattles loch ness the lake washington sea monster,6.5,25
tt24221914,movie,Monsternado,Monsternado,2023,81,"Action,Horror",monsternado,2.6,405
tt2430084,movie,I Heart Monster Movies,I Heart Monster Movies,2012,75,"Documentary,Horror",i heart monster movies,5.7,49
tt2446108,tvMovie,Monster High: Ghouls Rule!,Monster High: Ghouls Rule!,2012,71,"Animation,Family",monster high ghouls rule,6.1,1218
tt2451688,movie,Beast: A Monster Among Men,A Monster Among Men,2013,72,"Drama,Horror,Thriller",beast a monster among men,2.9,131
tt2575390,tvMovie,Plastic: The Real Sea Monster,Plastic: The Real Sea Monster,2013,52,Documentary,plastic the real sea monster,7.7,32
tt2615666,tvMovie,Monster High: Fright On,Monster High: Fright On,2011,46,"Animation,Comedy,Family",monster high fright on,6.9,727
tt2646268,video,Friendly Monsters: A Monster Easter,Friendly Monsters: A Monster Easter,1994,26,"Animation,Family,Short",friendly monsters a monster easter,6.2,10
tt2700870,video,Teenape Vs. The Monster Nazi Apocalypse,Teenape Vs. The Monster Nazi Apocalypse,2009,78,Comedy,teenape vs the monster nazi apocalypse,5.2,81
tt2712878,movie,Monsterman,Monsterimies,2014,85,"Biography,Documentary,Drama",monsterman,6.3,275
tt2762040,movie,Monster,Monsutâ,2013,114,Drama,monster,3.8,22
tt27712173,movie,Loch Ness: They Created A Monster,Loch Ness: They Created A Monster,2023,91,Documentary,loch ness they created a monster,6.8,49
tt27811009,movie,Monster on a Plane,Monster on a Plane,2024,88,"Comedy,Horror",monster on a plane,6.2,245
tt2793432,movie,The Anatomy of Monsters,The Anatomy of Monsters,2014,97,"Drama,Thriller",the anatomy of monsters,6.3,62
tt2794780,video,"Legend of the Goatman: Horrifying Monsters, Cryptids and Ghosts","Legend of the Goatman: Horrifying Monsters, Cryptids and Ghosts",2013,70,Documentary,legend of the goatman horrifying monsters cryptids and ghosts,3.7,33
tt2801336,tvMovie,Monster Squid: The Giant Is Real,Monster Squid: The Giant Is Real,2013,NA,Documentary,monster squid the giant is real,7.3,14
tt28090490,movie,Lumberjack the Monster,Kaibutsu no kikori,2023,119,"Crime,Thriller",lumberjack the monster,5.9,1221
tt28102409,movie,Monster im Kopf,Monster im Kopf,2023,94,Drama,monster im kopf,7.1,30
tt2815538,tvMovie,Whitey Bulger: The Making of a Monster,Whitey Bulger: The Making of a Monster,2013,NA,Documentary,whitey bulger the making of a monster,7.8,12
tt2833108,video,Friendly Monsters: A Monster Christmas,Friendly Monsters: A Monster Christmas,1994,26,"Animation,Family,Short",friendly monsters a monster christmas,6.9,22
