entity,code,year,crop_oil,production
Afghanistan,AFG,2005,Sunflower,4925
Afghanistan,AFG,2005,Maize,NA
Afghanistan,AFG,2005,Palm kernel,NA
Afghanistan,AFG,2006,Soybean,NA
Afghanistan,AFG,2006,Sesame,956
Afghanistan,AFG,2006,Linseed,342
Afghanistan,AFG,2006,Palm,NA
Afghanistan,AFG,2006,Rapeseed,NA
Afghanistan,AFG,2006,Groundnut,NA
Afghanistan,AFG,2006,Cottonseed,3518
Afghanistan,AFG,2006,Coconut (copra),NA
Afghanistan,AFG,2006,"Olive, virgin",130
Afghanistan,AFG,2006,Safflower,NA
Afghanistan,AFG,2006,Sunflower,3448
Afghanistan,AFG,2006,Maize,NA
Afghanistan,AFG,2006,Palm kernel,NA
Afghanistan,AFG,2007,Soybean,NA
Afghanistan,AFG,2007,Sesame,2134
Afghanistan,AFG,2007,Linseed,362
Afghanistan,AFG,2007,Palm,NA
Afghanistan,AFG,2007,Rapeseed,NA
Afghanistan,AFG,2007,Groundnut,NA
Afghanistan,AFG,2007,Cottonseed,3880
Afghanistan,AFG,2007,Coconut (copra),NA
Afghanistan,AFG,2007,"Olive, virgin",130
